Timestamp,Air Temperature (°C),Leaf Temperature (°C),Humidity (%),Air VPD (kPa),Leaf VPD (kPa)
2025-02-15 12:16:30,20.2,19.0,47,1.25,1.08
2025-02-15 12:16:40,20.2,19.0,47,1.25,1.08
2025-02-15 12:16:51,20.2,19.0,47,1.25,1.08
2025-02-15 12:17:01,20.2,19.0,47,1.25,1.08
2025-02-15 12:17:11,20.2,19.0,47,1.25,1.08
2025-02-15 12:17:21,20.2,19.0,47,1.25,1.08
2025-02-15 12:17:31,20.2,19.0,47,1.25,1.08
2025-02-15 12:17:41,20.2,19.0,47,1.25,1.08
2025-02-15 12:17:51,20.2,19.0,47,1.25,1.08
2025-02-15 12:18:02,20.2,19.0,47,1.25,1.08
2025-02-15 12:18:12,20.2,19.0,47,1.25,1.08
2025-02-15 12:18:22,20.2,19.0,47,1.25,1.08
2025-02-15 12:18:32,20.2,19.0,47,1.25,1.08
2025-02-15 12:18:42,20.2,19.0,47,1.25,1.08
2025-02-15 12:18:52,20.2,19.0,47,1.25,1.08
2025-02-15 12:19:02,20.2,19.0,47,1.25,1.08
2025-02-15 12:19:13,20.2,19.0,47,1.25,1.08
2025-02-15 12:19:23,20.2,19.0,47,1.25,1.08
2025-02-15 12:19:33,20.2,19.0,47,1.25,1.08
2025-02-15 12:19:43,20.2,19.0,47,1.25,1.08
2025-02-15 12:19:53,20.2,19.0,47,1.25,1.08
2025-02-15 12:20:03,20.2,19.0,47,1.25,1.08
2025-02-15 12:20:13,20.2,19.0,47,1.25,1.08
2025-02-15 12:20:23,20.2,19.0,47,1.25,1.08
2025-02-15 12:20:34,20.2,19.0,47,1.25,1.08
2025-02-15 12:20:44,20.2,19.0,47,1.25,1.08
2025-02-15 12:20:54,20.2,19.0,47,1.25,1.08
2025-02-15 12:21:04,20.2,19.0,47,1.25,1.08
2025-02-15 12:21:14,20.2,19.0,47,1.25,1.08
2025-02-15 12:21:24,20.2,19.0,47,1.25,1.08
2025-02-15 12:21:34,20.2,19.0,47,1.25,1.08
2025-02-15 12:21:45,20.2,19.0,47,1.25,1.08
2025-02-15 12:21:55,20.2,19.0,47,1.25,1.08
2025-02-15 12:22:05,20.2,19.0,47,1.25,1.08
2025-02-15 12:22:15,20.2,19.0,47,1.25,1.08
2025-02-15 12:22:25,20.2,19.0,47,1.25,1.08
2025-02-15 12:22:35,20.2,19.0,47,1.25,1.08
2025-02-15 12:22:45,20.2,19.0,47,1.25,1.08
2025-02-15 12:22:56,20.2,19.0,47,1.25,1.08
2025-02-15 12:23:06,20.2,19.0,47,1.25,1.08
2025-02-15 12:23:16,20.2,19.0,47,1.25,1.08
2025-02-15 12:23:26,20.2,19.0,47,1.25,1.08
2025-02-15 12:23:36,20.2,19.0,47,1.25,1.08
2025-02-15 12:23:46,20.2,19.0,47,1.25,1.08
2025-02-15 12:23:56,20.2,19.0,47,1.25,1.08
2025-02-15 12:24:07,20.2,19.0,47,1.25,1.08
2025-02-15 12:24:17,20.2,19.0,47,1.25,1.08
2025-02-15 12:24:27,20.2,19.0,47,1.25,1.08
2025-02-15 12:24:37,20.2,19.0,47,1.25,1.08
2025-02-15 12:24:47,20.2,19.0,47,1.25,1.08
2025-02-15 12:24:57,20.2,19.0,47,1.25,1.08
2025-02-15 12:25:07,20.2,19.0,47,1.25,1.08
2025-02-15 12:25:17,20.2,19.0,47,1.25,1.08
2025-02-15 12:25:28,20.1,18.9,47,1.25,1.08
2025-02-15 12:25:38,20.1,18.9,47,1.25,1.08
2025-02-15 12:25:48,20.1,18.9,47,1.25,1.08
2025-02-15 12:25:58,20.1,18.9,47,1.25,1.08
2025-02-15 12:26:09,20.1,18.9,47,1.25,1.08
2025-02-15 12:26:19,20.1,18.9,47,1.25,1.08
2025-02-15 12:26:29,20.1,18.9,47,1.25,1.08
2025-02-15 12:26:39,20.1,18.9,47,1.25,1.08
2025-02-15 12:26:49,20.1,18.9,47,1.25,1.08
2025-02-15 12:26:59,20.1,18.9,47,1.25,1.08
2025-02-15 12:27:09,20.1,18.9,47,1.25,1.08
2025-02-15 12:27:19,20.1,18.9,47,1.25,1.08
2025-02-15 12:27:30,20.1,18.9,47,1.25,1.08
2025-02-15 12:27:40,20.1,18.9,47,1.25,1.08
2025-02-15 12:27:50,20.1,18.9,47,1.25,1.08
2025-02-15 12:28:00,20.1,18.9,47,1.25,1.08
2025-02-15 12:28:10,20.1,18.9,47,1.25,1.08
2025-02-15 12:28:20,20.1,18.9,47,1.25,1.08
2025-02-15 12:28:30,20.1,18.9,47,1.25,1.08
2025-02-15 12:28:40,20.1,18.9,47,1.25,1.08
2025-02-15 12:28:51,20.1,18.9,47,1.25,1.08
2025-02-15 12:29:01,20.1,18.9,47,1.25,1.08
2025-02-15 12:29:11,20.1,18.9,47,1.25,1.08
2025-02-15 12:29:21,20.1,18.9,47,1.25,1.08
2025-02-15 12:29:31,20.1,18.9,47,1.25,1.08
2025-02-15 12:29:41,20.1,18.9,47,1.25,1.08
2025-02-15 12:29:51,20.1,18.9,47,1.25,1.08
2025-02-15 12:30:01,20.1,18.9,47,1.25,1.08
2025-02-15 12:30:12,20.1,18.9,47,1.25,1.08
2025-02-15 12:30:22,20.1,18.9,47,1.25,1.08
2025-02-15 12:30:32,20.1,18.9,47,1.25,1.08
2025-02-15 12:30:42,20.1,18.9,47,1.25,1.08
2025-02-15 12:30:52,20.1,18.9,47,1.25,1.08
2025-02-15 12:31:02,20.1,18.9,47,1.25,1.08
2025-02-15 12:31:12,20.1,18.9,47,1.25,1.08
2025-02-15 12:31:22,20.1,18.9,47,1.25,1.08
